run,model,dataset,prequential_scores,time,memory
1,ARFC,adult,0.8171450800540518,79.85750937461853,18.02734375
2,ARFC,adult,0.8164080095000205,88.50060415267944,20.46484375
3,ARFC,adult,0.8131526145530487,79.81269431114197,17.75
4,ARFC,adult,0.8118217927193808,81.13663864135742,15.28515625
5,ARFC,adult,0.8090373039597069,89.69946885108948,23.97265625
1,ARFC,electricity,0.8603239759887006,55.02107548713684,6.2578125
2,ARFC,electricity,0.8557335805084746,55.76314425468445,6.9140625
3,ARFC,electricity,0.8596839689265536,48.99594163894653,6.19921875
4,ARFC,electricity,0.8605667372881356,52.074633836746216,4.38671875
5,ARFC,electricity,0.8557335805084746,54.6994731426239,6.78515625
1,ARFC,forest_cover,0.8844309583967285,1232.3160178661346,38.21875
2,ARFC,forest_cover,0.891931664062016,1217.7301380634308,34.60546875
3,ARFC,forest_cover,0.8928077216993797,1214.2832660675049,38.2578125
4,ARFC,forest_cover,0.8844309583967285,1240.684011220932,39.37890625
5,ARFC,forest_cover,0.8890728590803633,1222.3408086299896,37.02734375
1,ARFC,hyperplane_high_gradual_drift,0.759556,833.1497147083282,94.4609375
2,ARFC,hyperplane_high_gradual_drift,0.755728,905.5700838565826,93.84765625
3,ARFC,hyperplane_high_gradual_drift,0.755728,881.4793479442596,95.3125
4,ARFC,hyperplane_high_gradual_drift,0.757906,852.2457330226898,114.21875
5,ARFC,hyperplane_high_gradual_drift,0.75757,901.5258448123932,93.109375
1,ARFC,insects,0.685172570390554,113.92385673522949,5.27734375
2,ARFC,insects,0.6944822888283378,108.44362425804138,5.47265625
3,ARFC,insects,0.6823342415985467,113.94578957557678,4.890625
4,ARFC,insects,0.6839993944898577,115.28640937805176,5.26171875
5,ARFC,insects,0.6846995155918861,117.48688244819641,5.20703125
1,ARFC,movingRBF,0.511485,335.0137391090393,17.77734375
2,ARFC,movingRBF,0.511485,342.49752402305603,17.84765625
3,ARFC,movingRBF,0.511485,344.8643608093262,16.9609375
4,ARFC,movingRBF,0.518395,342.4203085899353,15.44921875
5,ARFC,movingRBF,0.510515,339.391485452652,14.34375
1,ARFC,moving_squares,0.60808,267.5022747516632,17.58203125
2,ARFC,moving_squares,0.611125,265.8652169704437,17.0078125
3,ARFC,moving_squares,0.563675,280.2976622581482,18.3125
4,ARFC,moving_squares,0.606405,251.89771485328674,17.93359375
5,ARFC,moving_squares,0.59013,256.5885491371155,15.5625
1,ARFC,new_airlines,0.6529571751427093,737.8306188583374,44.6015625
2,ARFC,new_airlines,0.6519263677201543,763.5732698440552,45.5390625
3,ARFC,new_airlines,0.6529497592619715,742.7815792560577,45.26953125
4,ARFC,new_airlines,0.6529497592619715,745.0271480083466,44.26953125
5,ARFC,new_airlines,0.6545015323063574,758.9989168643951,44.953125
1,ARFC,sea_high_abrupt_drift,0.888636,818.005373954773,103.03515625
2,ARFC,sea_high_abrupt_drift,0.889226,872.1829130649567,104.12890625
3,ARFC,sea_high_abrupt_drift,0.889226,895.7014899253845,102.44921875
4,ARFC,sea_high_abrupt_drift,0.889404,881.4055507183075,101.16015625
5,ARFC,sea_high_abrupt_drift,0.889276,914.8040914535522,105.0390625
1,ARFC,sea_high_mixed_drift,0.879104,819.7715971469879,80.9296875
2,ARFC,sea_high_mixed_drift,0.88054,707.4965708255768,70.0
3,ARFC,sea_high_mixed_drift,0.879714,784.5900168418884,76.859375
4,ARFC,sea_high_mixed_drift,0.882008,957.0760185718536,109.9765625
5,ARFC,sea_high_mixed_drift,0.879908,847.1192257404327,90.09375
1,ARFC,shuttle,0.9949310344827587,65.91542673110962,4.328125
2,ARFC,shuttle,0.9956724137931035,61.31515336036682,3.66796875
3,ARFC,shuttle,0.9962758620689656,61.37214398384094,4.33203125
4,ARFC,shuttle,0.9943965517241379,63.25091290473938,4.4375
5,ARFC,shuttle,0.9957931034482759,62.50004005432129,4.1875
1,ARFC,synth_RandomRBFDrift,0.6237,122.28787660598755,11.25390625
2,ARFC,synth_RandomRBFDrift,0.62813,129.46080136299133,13.16015625
3,ARFC,synth_RandomRBFDrift,0.61295,114.76638722419739,9.9140625
4,ARFC,synth_RandomRBFDrift,0.62855,127.89906907081604,13.5859375
5,ARFC,synth_RandomRBFDrift,0.6476,127.83059239387512,15.01171875
1,ARFC,synth_agrawal,0.98417,96.57889676094055,7.78515625
2,ARFC,synth_agrawal,0.98417,94.27673053741455,7.24609375
3,ARFC,synth_agrawal,0.97365,92.38048124313354,8.4765625
4,ARFC,synth_agrawal,0.96242,98.77072215080261,10.4375
5,ARFC,synth_agrawal,0.98417,98.02298903465271,6.55859375
1,ARFC,vehicle_sensIT,0.7481325105553751,283.2546637058258,48.9296875
2,ARFC,vehicle_sensIT,0.7536030367002273,281.7219774723053,38.82421875
3,ARFC,vehicle_sensIT,0.7621589801883728,306.71230244636536,56.29296875
4,ARFC,vehicle_sensIT,0.7546585742124067,271.25703501701355,41.2265625
5,ARFC,vehicle_sensIT,0.7536030367002273,273.98458218574524,36.69921875
1,AutoClass,adult,0.75412554768437,640.9617073535919,327.33203125
2,AutoClass,adult,0.7656115638180254,646.5785930156708,274.875
3,AutoClass,adult,0.7656115638180254,648.9253327846527,274.04296875
4,AutoClass,adult,0.7684370009418123,704.8013496398926,184.171875
5,AutoClass,adult,0.7893411408214241,569.6225228309631,209.71875
1,AutoClass,electricity,0.8849973516949152,726.4119186401367,12.453125
2,AutoClass,electricity,0.859132238700565,466.6154007911682,79.21875
3,AutoClass,electricity,0.8849973516949152,733.3794567584991,12.49609375
